Metric,Value,ETF,Weight
Expected Annual Return,32.91%,,
Annual Volatility,67.73%,,
Sharpe Ratio,0.47,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,ERX,5.00%
,,DIG,5.00%
,,NAIL,5.00%
,,DFEN,5.00%
,,FNGU,45.00%
,,GUSH,5.00%
,,SPUU,15.00%
,,TECL,5.00%
,,NUGT,5.00%
,,SPXL,5.00%
