Date,Cumulative Return
2021-09-27,1.0124885113055273
2021-09-28,0.9563357209262144
2021-09-29,0.9471005516453778
2021-09-30,0.9360233812856005
2021-10-01,0.9576986548049826
2021-10-04,0.9172718925629862
2021-10-05,0.9530784270365714
2021-10-06,0.9650612497480664
2021-10-07,1.0051981855688084
2021-10-08,1.0181681649163488
2021-10-11,1.0053428859217957
2021-10-12,0.9986083983970724
2021-10-13,1.0199062375620571
2021-10-14,1.0571481129812534
2021-10-15,1.0708816363558358
2021-10-18,1.1046317260405067
2021-10-19,1.137928466111195
2021-10-20,1.1426567919391304
2021-10-21,1.1536273446063003
2021-10-22,1.136911690409302
2021-10-25,1.1732356642435473
2021-10-26,1.164940958306018
2021-10-27,1.1368786131316035
2021-10-28,1.1662730369952996
2021-10-29,1.1661152245786166
2021-11-01,1.2071563039235957
2021-11-02,1.1833747018158483
2021-11-03,1.2155377245544832
2021-11-04,1.2421354118247243
2021-11-05,1.2516369083272758
2021-11-08,1.2602125077659683
2021-11-09,1.2367268021326174
2021-11-10,1.197927806630374
2021-11-11,1.2201938472832192
2021-11-12,1.245737961930074
2021-11-15,1.2460724676383454
2021-11-16,1.2607518641496032
2021-11-17,1.2373009736317633
2021-11-18,1.2361865751159058
2021-11-19,1.2308060944766681
2021-11-22,1.20498267565914
2021-11-23,1.2007009246898595
2021-11-24,1.2224426027593707
2021-11-26,1.1448841388325468
2021-11-29,1.1831343020163703
2021-11-30,1.1317284367577742
2021-12-01,1.0671149755507747
2021-12-02,1.0971522108112937
2021-12-03,1.0351661598408233
2021-12-06,1.088887210158739
2021-12-07,1.1632673804456548
2021-12-08,1.1800562624374185
2021-12-09,1.1361517490209798
2021-12-10,1.1525470682623662
2021-12-13,1.0863438684268811
2021-12-14,1.0686500395961451
2021-12-15,1.107511748334673
2021-12-16,1.0523148324354261
2021-12-17,1.0344071588830697
2021-12-20,0.9906589398223021
2021-12-21,1.0662902712506883
2021-12-22,1.0957144468181776
2021-12-23,1.1163324150021419
2021-12-27,1.1578784647209233
2021-12-28,1.1453163683811054
2021-12-29,1.1337826375235895
2021-12-30,1.1478712822268
2021-12-31,1.1281685968091173
2022-01-03,1.1727625286194074
2022-01-04,1.164450759928109
2022-01-05,1.0860429310790192
2022-01-06,1.0960784011801483
2022-01-07,1.0812585090849078
2022-01-10,1.0826955819580788
2022-01-11,1.1302672938618792
2022-01-12,1.1546858986362203
2022-01-13,1.0849798927055365
2022-01-14,1.107013346045345
2022-01-18,1.0458169104899258
2022-01-19,1.0242374471399618
2022-01-20,1.0021878503031119
2022-01-21,0.9039558250416605
2022-01-24,0.902234231487523
2022-01-25,0.8759208137786391
2022-01-26,0.8623182748789439
2022-01-27,0.8348646467146713
2022-01-28,0.8864256906887522
2022-01-31,0.9761338691049989
2022-02-01,1.0088553571338712
2022-02-02,1.0171240701722568
2022-02-03,0.9201956914848873
2022-02-04,0.9462946000205305
2022-02-07,0.9258343039648222
2022-02-08,0.9532442619420638
2022-02-09,1.0020391790900465
2022-02-10,0.9517202744521567
2022-02-11,0.9096562699505318
2022-02-14,0.9078531827361442
2022-02-15,0.95492819473518
2022-02-16,0.963111913819912
2022-02-17,0.9047916137765376
2022-02-18,0.8716401990289464
2022-02-22,0.8256474885810373
2022-02-23,0.7796396975536988
2022-02-24,0.8289105171775212
2022-02-25,0.8660237489804377
2022-02-28,0.887038573376619
2022-03-01,0.8786674202228227
2022-03-02,0.9068339327052645
2022-03-03,0.8688456686492507
2022-03-04,0.8504413723521056
2022-03-07,0.7834080159786487
2022-03-08,0.7738232248935286
2022-03-09,0.834522063041172
2022-03-10,0.8163062013398582
2022-03-11,0.7559610504051824
2022-03-14,0.6980287509396904
2022-03-15,0.7340556746562916
2022-03-16,0.8491558052474587
2022-03-17,0.8775275368302702
2022-03-18,0.9279061498926473
2022-03-21,0.9281188365339338
2022-03-22,0.9795445321273455
2022-03-23,0.9653504451778266
2022-03-24,0.9943384362678018
2022-03-25,0.9993422647076468
2022-03-28,1.0190337274290655
2022-03-29,1.0545104865948094
2022-03-30,1.030988137297544
2022-03-31,0.9718428933515085
2022-04-01,0.9896216581537316
2022-04-04,1.0504550367240755
2022-04-05,0.9820842299799784
2022-04-06,0.9246138066342287
2022-04-07,0.9226831188761402
2022-04-08,0.9045905784915509
2022-04-11,0.8514887332296769
2022-04-12,0.8466686318987791
2022-04-13,0.8863680457233208
2022-04-14,0.8392342648977466
2022-04-18,0.8454729105187092
2022-04-19,0.8747698720094849
2022-04-20,0.8064980597758421
2022-04-21,0.7508569315063207
2022-04-22,0.7043345469199432
2022-04-25,0.711211577492613
2022-04-26,0.6465814695197873
2022-04-27,0.6489465306686779
2022-04-28,0.7138809256559703
2022-04-29,0.6567086762200961
2022-05-02,0.6891890554485405
2022-05-03,0.7021818613843465
2022-05-04,0.76497592432131
2022-05-05,0.6676836758441616
2022-05-06,0.6481675715318378
2022-05-09,0.5606766681110434
2022-05-10,0.5714388634308792
2022-05-11,0.5297860132965466
2022-05-12,0.5267606046621232
2022-05-13,0.5826566958590679
2022-05-16,0.5741635113024753
2022-05-17,0.6165678023730758
2022-05-18,0.5433767157298576
2022-05-19,0.5449713595471821
2022-05-20,0.538775767067254
2022-05-23,0.56191142890593
2022-05-24,0.5250081329957128
2022-05-25,0.54861236222242
2022-05-26,0.6051227443008447
2022-05-27,0.6488581644312232
2022-05-31,0.6464836598083543
2022-06-01,0.6402565055563064
2022-06-02,0.6864789725513457
2022-06-03,0.6443149039872313
2022-06-06,0.6592937385214935
