Date,Cumulative Return
2019-10-16,1.000200497964075
2019-10-17,1.0004006441802304
2019-10-18,1.000520749910822
2019-10-21,1.0004259090011034
2019-10-22,1.0005353206832017
2019-10-23,1.000601695719972
2019-10-24,1.000828777711085
2019-10-25,1.0007337172694908
2019-10-28,1.0005920988201906
2019-10-29,1.000697351292739
2019-10-30,1.001031636961878
2019-10-31,1.001519287532512
2019-11-01,1.0016466841810092
2019-11-04,1.0014970632864892
2019-11-05,1.0011581331726684
2019-11-06,1.001465664436089
2019-11-07,1.0012386733902698
2019-11-08,1.001232704293561
2019-11-11,1.00119029665596
2019-11-12,1.0013970929813791
2019-11-13,1.0015949346465132
2019-11-14,1.0019037723116473
2019-11-15,1.0018409704105795
2019-11-18,1.002051649816133
2019-11-19,1.0021094589359854
2019-11-20,1.0023502598317218
2019-11-21,1.0022684051647308
2019-11-22,1.0023345126689127
2019-11-25,1.0024252495819794
2019-11-26,1.0026754529127384
2019-11-27,1.002680785493765
2019-11-29,1.0026814732402956
2019-12-02,1.0027858583695097
2019-12-03,1.0032694871947418
2019-12-04,1.003203264462225
2019-12-05,1.0032578314269904
2019-12-06,1.003196727883037
2019-12-09,1.0032733957215445
2019-12-10,1.0032409229647414
2019-12-11,1.0035086359948437
2019-12-12,1.0033043892855142
2019-12-13,1.0036922676418405
2019-12-16,1.0035205184030282
2019-12-17,1.0035810958489857
2019-12-18,1.0036602662335865
2019-12-19,1.0039403704704672
2019-12-20,1.0038825582258595
2019-12-23,1.0038345966543418
2019-12-24,1.0040470477327237
2019-12-26,1.004220743057476
2019-12-27,1.0044189618400077
2019-12-30,1.0046039101207274
2019-12-31,1.0045872604567656
2020-01-02,1.0048551367260834
2020-01-03,1.0051691427399094
2020-01-06,1.0051067902373412
2020-01-07,1.005102536045209
2020-01-08,1.005138385750886
2020-01-09,1.0053685644053487
2020-01-10,1.0054814540294046
2020-01-13,1.0054352111072506
2020-01-14,1.005494433827011
2020-01-15,1.0056824786554324
2020-01-16,1.0058824956135561
2020-01-17,1.0058442091801012
2020-01-21,1.0061919186016233
2020-01-22,1.0063405347559573
2020-01-23,1.0065833779031055
2020-01-24,1.0067404975050565
2020-01-27,1.0070024740173513
2020-01-28,1.006987736650825
2020-01-29,1.0073196214142983
2020-01-30,1.0074255463148984
2020-01-31,1.0078792346377943
2020-02-03,1.007821032399811
2020-02-04,1.0076089932226886
2020-02-05,1.007639987952448
2020-02-06,1.0076850906143084
2020-02-07,1.007939421585165
2020-02-10,1.0081054045785471
2020-02-11,1.0080977210437314
2020-02-12,1.0080740533685146
2020-02-13,1.0081563430201235
2020-02-14,1.0082494188944315
2020-02-18,1.0085118887464553
2020-02-19,1.008500950840526
2020-02-20,1.0086727987720037
2020-02-21,1.0090206871199
2020-02-24,1.0093100089357698
2020-02-25,1.0095882352991234
2020-02-26,1.0096646780177854
2020-02-27,1.0098677212965503
2020-02-28,1.0107520842339157
2020-03-02,1.0110969212438639
2020-03-03,1.0122799017052695
2020-03-04,1.0128893795700669
2020-03-05,1.0133301284559115
2020-03-06,1.013412334846964
2020-03-09,1.0127548830374355
2020-03-10,1.0113678038809464
2020-03-11,1.0098231890969165
2020-03-12,1.0052898867305486
2020-03-13,1.0077367304850764
2020-03-16,1.0054527419997192
2020-03-17,1.0036010829853559
2020-03-18,0.9994174761496828
2020-03-19,0.9932579854027487
2020-03-20,0.9948872619711612
2020-03-23,0.999208176630047
2020-03-24,0.999869336075743
2020-03-25,1.0022505744196974
2020-03-26,1.0030416181677495
2020-03-27,1.0044837098101969
2020-03-30,1.0058696778732164
2020-03-31,1.0065163157294283
2020-04-01,1.0060315473808124
2020-04-02,1.0061007833562396
2020-04-03,1.0059029860556734
2020-04-06,1.0069780331948008
2020-04-07,1.0075629447358012
2020-04-08,1.008474034179852
2020-04-09,1.010432851624161
2020-04-13,1.0110249953973445
2020-04-14,1.0114173598186673
2020-04-15,1.0116974493209656
2020-04-16,1.0114887561177301
2020-04-17,1.011889512049168
2020-04-20,1.0114643117923616
2020-04-21,1.0112849225198974
2020-04-22,1.0114203186887323
2020-04-23,1.0116577297677292
2020-04-24,1.0116834246835575
2020-04-27,1.0114390211696405
2020-04-28,1.0116709507185682
2020-04-29,1.0120049097548913
2020-04-30,1.012350336690392
2020-05-01,1.0121641536377564
2020-05-04,1.0123450152710094
2020-05-05,1.0125626995611239
2020-05-06,1.0122650044340267
2020-05-07,1.0124589584389874
2020-05-08,1.0124423045868323
2020-05-11,1.0126502065193936
2020-05-12,1.0126026791726375
2020-05-13,1.0128335001327222
2020-05-14,1.0131546103160518
2020-05-15,1.013154466982769
2020-05-18,1.013417827780909
2020-05-19,1.0137413332383285
2020-05-20,1.0142195045039224
2020-05-21,1.0143510856184506
2020-05-22,1.0143457527495983
2020-05-26,1.0145888696911487
2020-05-27,1.0147873956393136
2020-05-28,1.0148740012424762
2020-05-29,1.0152974496673912
2020-06-01,1.0156405630464111
2020-06-02,1.0158619256291073
2020-06-03,1.0158788176059077
2020-06-04,1.015805359030669
2020-06-05,1.0158900774963806
2020-06-08,1.016241068406089
2020-06-09,1.0163679316820602
2020-06-10,1.016823745438359
2020-06-11,1.0159353935850441
2020-06-12,1.0162565182135974
2020-06-15,1.0170329708173327
2020-06-16,1.0172168373608197
2020-06-17,1.017307588321263
2020-06-18,1.0171682242789697
2020-06-19,1.017254524192939
2020-06-22,1.0172164564154678
2020-06-23,1.017264030560939
2020-06-24,1.0171855403510075
2020-06-25,1.017255373430421
2020-06-26,1.0172121205018196
