Metric,Value,ETF,Weight
Expected Annual Return,19.73%,,
Annual Volatility,22.64%,,
Sharpe Ratio,0.82,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,GRID,8.79%
,,AIRR,13.02%
,,URA,20.63%
,,XHB,5.00%
,,ITB,5.00%
,,FTLS,17.73%
,,COPX,5.00%
,,XMMO,5.00%
,,RSPN,5.00%
,,HTUS,14.83%
